hpo_approach_id,run_id,iteration,config_original_idx,lr,num_layers,hidden_size,dropout_rate,weight_decay,device_used,processing_start_time_abs,processing_duration_s,test_accuracy,train_accuracy,fitness_score
DynamicPull_GPUmicrobatch,c6468262,2,10,1.031525e-04,2,147,0.2714,4.020240e-07,cpu,1747257444.819,13.092,0.7089,0.7058,0.7089
DynamicPull_GPUmicrobatch,c6468262,2,3,1.271631e-03,3,137,0.2947,1.034156e-06,cpu,1747257442.320,17.108,0.7435,0.7428,0.7435
DynamicPull_GPUmicrobatch,c6468262,3,17,2.359511e-03,4,341,0.3330,1.282460e-05,cuda,1747257461.359,5.218,0.7502,0.7420,0.7502
DynamicPull_GPUmicrobatch,c6468262,3,2,3.960944e-05,2,393,0.4689,3.324065e-05,cuda,1747257466.587,3.063,0.6819,0.6706,0.6819
DynamicPull_GPUmicrobatch,c6468262,3,14,3.070689e-04,2,359,0.2694,1.800359e-06,cuda,1747257469.650,3.840,0.7407,0.7302,0.7407
DynamicPull_GPUmicrobatch,c6468262,3,10,2.757865e-03,2,334,0.0215,1.029052e-05,cuda,1747257473.490,3.073,0.7806,0.7722,0.7806
DynamicPull_GPUmicrobatch,c6468262,3,3,4.685167e-03,2,304,0.1365,1.414509e-05,cuda,1747257475.119,3.378,0.7588,0.7612,0.7588
DynamicPull_GPUmicrobatch,c6468262,3,12,4.685167e-03,2,304,0.1203,1.414509e-05,cuda,1747257478.517,4.036,0.7641,0.7626,0.7641
DynamicPull_GPUmicrobatch,c6468262,3,7,6.719019e-05,2,268,0.5178,1.531616e-04,cuda,1747257482.554,3.745,0.6975,0.6808,0.6975
DynamicPull_GPUmicrobatch,c6468262,3,18,3.721109e-03,1,398,0.1846,2.365004e-05,cuda,1747257486.309,3.988,0.7601,0.7504,0.7601
DynamicPull_GPUmicrobatch,c6468262,3,6,1.896111e-03,4,320,0.2536,1.282460e-05,cpu,1747257461.457,32.164,0.7594,0.7552,0.7594
DynamicPull_GPUmicrobatch,c6468262,3,13,3.721109e-03,1,344,0.1846,2.365004e-05,cuda,1747257490.297,2.675,0.7550,0.7460,0.7550
DynamicPull_GPUmicrobatch,c6468262,3,4,1.896111e-03,3,341,0.2536,1.282460e-05,cpu,1747257461.474,35.061,0.7579,0.7596,0.7579
DynamicPull_GPUmicrobatch,c6468262,3,1,7.104999e-04,1,295,0.0201,6.452071e-06,cuda,1747257492.972,2.441,0.7452,0.7330,0.7452
DynamicPull_GPUmicrobatch,c6468262,3,15,4.681214e-03,3,110,0.3684,1.818606e-04,cuda,1747257495.413,3.694,0.7391,0.7354,0.7391
DynamicPull_GPUmicrobatch,c6468262,3,0,3.403632e-03,1,62,0.3141,7.180045e-05,cuda,1747257499.108,2.453,0.7426,0.7368,0.7426
DynamicPull_GPUmicrobatch,c6468262,3,19,2.359511e-03,4,341,0.2823,1.282460e-05,cpu,1747257461.361,42.826,0.7588,0.7620,0.7588
DynamicPull_GPUmicrobatch,c6468262,3,9,4.165021e-03,2,37,0.4661,4.251185e-05,cuda,1747257501.561,3.497,0.7285,0.7176,0.7285
DynamicPull_GPUmicrobatch,c6468262,3,8,1.175011e-03,1,36,0.2500,1.721012e-04,cuda,1747257503.764,2.437,0.7313,0.7124,0.7313
DynamicPull_GPUmicrobatch,c6468262,3,5,6.700749e-03,4,136,0.0507,3.376357e-05,cpu,1747257492.164,17.772,0.7648,0.7654,0.7648
DynamicPull_GPUmicrobatch,c6468262,3,16,4.688775e-03,2,184,0.1688,4.869945e-06,cpu,1747257495.088,15.045,0.7632,0.7676,0.7632
DynamicPull_GPUmicrobatch,c6468262,3,11,1.031585e-04,1,54,0.1656,2.203049e-06,cpu,1747257502.732,7.496,0.6451,0.6446,0.6451
DynamicPull_GPUmicrobatch,c6468262,4,9,2.757865e-03,2,334,0.0215,1.029052e-05,cuda,1747257512.011,4.642,0.7731,0.7838,0.7731
DynamicPull_GPUmicrobatch,c6468262,4,15,4.685167e-03,2,304,0.1203,1.414509e-05,cuda,1747257516.654,3.100,0.7592,0.7674,0.7592
DynamicPull_GPUmicrobatch,c6468262,4,6,4.579101e-05,4,171,0.2282,6.434856e-05,cuda,1747257519.754,4.324,0.6930,0.6824,0.6930
DynamicPull_GPUmicrobatch,c6468262,4,7,4.461246e-03,4,164,0.2265,4.027883e-06,cuda,1747257524.078,3.700,0.7578,0.7546,0.7578
DynamicPull_GPUmicrobatch,c6468262,4,8,4.685167e-03,2,256,0.1203,1.414509e-05,cuda,1747257527.778,3.306,0.7655,0.7640,0.7655
DynamicPull_GPUmicrobatch,c6468262,4,12,4.685167e-03,2,304,0.1203,1.414509e-05,cpu,1747257512.133,20.261,0.7661,0.7742,0.7661
DynamicPull_GPUmicrobatch,c6468262,4,18,3.708824e-03,1,398,0.1846,2.365004e-05,cuda,1747257531.085,2.913,0.7615,0.7634,0.7615
DynamicPull_GPUmicrobatch,c6468262,4,5,2.757865e-03,2,334,0.0215,1.265557e-05,cpu,1747257512.005,24.523,0.7690,0.7818,0.7690
DynamicPull_GPUmicrobatch,c6468262,4,17,2.757865e-03,1,334,0.0215,1.029052e-05,cuda,1747257533.998,2.632,0.7581,0.7514,0.7581
DynamicPull_GPUmicrobatch,c6468262,4,0,4.685167e-03,2,312,0.1203,1.414509e-05,cpu,1747257512.105,25.074,0.7637,0.7710,0.7637
DynamicPull_GPUmicrobatch,c6468262,4,19,4.688775e-03,2,184,0.1688,4.490768e-06,cuda,1747257535.281,3.374,0.7583,0.7580,0.7583
DynamicPull_GPUmicrobatch,c6468262,4,3,4.113444e-04,1,189,0.0934,1.216042e-07,cuda,1747257538.656,2.808,0.7298,0.7264,0.7298
DynamicPull_GPUmicrobatch,c6468262,4,11,2.132878e-04,2,103,0.5900,2.304783e-04,cuda,1747257541.464,3.252,0.6859,0.6696,0.6859
DynamicPull_GPUmicrobatch,c6468262,4,16,3.539855e-04,1,83,0.0466,2.869393e-06,cuda,1747257544.715,2.620,0.7220,0.7138,0.7220
DynamicPull_GPUmicrobatch,c6468262,4,14,7.213563e-03,1,256,0.0001,1.694009e-07,cpu,1747257535.829,13.819,0.7512,0.7542,0.7512
DynamicPull_GPUmicrobatch,c6468262,4,13,9.979666e-05,1,318,0.0140,1.111366e-05,cpu,1747257535.184,14.613,0.6983,0.7014,0.6983
DynamicPull_GPUmicrobatch,c6468262,4,1,1.677231e-03,2,34,0.0177,2.808203e-04,cuda,1747257547.336,2.671,0.7441,0.7412,0.7441
DynamicPull_GPUmicrobatch,c6468262,4,4,6.700749e-03,4,136,0.0507,3.935011e-05,cpu,1747257532.395,21.858,0.7617,0.7692,0.7617
DynamicPull_GPUmicrobatch,c6468262,4,2,1.588826e-03,1,42,0.1433,2.632719e-07,cpu,1747257549.649,3.676,0.7336,0.7254,0.7336
DynamicPull_GPUmicrobatch,c6468262,4,10,2.941614e-04,1,33,0.5927,8.935459e-05,cpu,1747257549.797,4.312,0.6700,0.6670,0.6700
DynamicPull_GPUmicrobatch,c6468262,5,18,2.808496e-04,2,454,0.3175,1.504539e-04,cuda,1747257557.303,4.604,0.7387,0.7332,0.7387
DynamicPull_GPUmicrobatch,c6468262,5,11,2.806449e-03,2,334,0.0215,1.265557e-05,cuda,1747257561.916,2.830,0.7798,0.7876,0.7798
DynamicPull_GPUmicrobatch,c6468262,5,12,2.757865e-03,2,334,0.0215,1.129324e-05,cuda,1747257564.746,3.120,0.7800,0.7792,0.7800
DynamicPull_GPUmicrobatch,c6468262,5,3,4.685167e-03,2,312,0.1203,1.334677e-05,cuda,1747257566.481,3.185,0.7670,0.7688,0.7670
DynamicPull_GPUmicrobatch,c6468262,5,6,3.411993e-03,3,197,0.2953,6.036402e-06,cuda,1747257569.681,3.540,0.7509,0.7512,0.7509
DynamicPull_GPUmicrobatch,c6468262,5,14,5.126993e-03,2,256,0.1203,1.414509e-05,cuda,1747257573.222,3.252,0.7615,0.7668,0.7615
DynamicPull_GPUmicrobatch,c6468262,5,19,4.685167e-03,2,256,0.0000,1.414509e-05,cuda,1747257576.491,3.070,0.7724,0.7770,0.7724
